,date,date_utc,open,high,low,close,volume
107,02-28-2023,1677597300,206.95,207.15,204.82,205.13,9241572
108,02-28-2023,1677598200,205.12,206.19,204.71,205.61,6919364
109,02-28-2023,1677599100,205.59,206.05,203.75,204.73,7385748
110,02-28-2023,1677600000,204.73,206.15,204.56,205.8,5336084
111,02-28-2023,1677600900,205.81,206.33,204.88,205.28,4445179
112,02-28-2023,1677601800,205.24,206.16,204.86,205.22,4025146
113,02-28-2023,1677602700,205.25,206.12,204.98,205.97,3652279
114,02-28-2023,1677603600,205.98,206.8,205.87,206.54,4043939
115,02-28-2023,1677604500,206.58,207.84,206.26,207.79,4935195
116,02-28-2023,1677605400,207.83,207.88,206.62,206.73,4157582
117,02-28-2023,1677606300,206.74,207.69,206.31,207.16,3749877
118,02-28-2023,1677607200,207.18,207.56,206.66,206.92,3247223
119,02-28-2023,1677608100,206.92,207.36,206.6,207.22,2793879
120,02-28-2023,1677609000,207.22,208.23,206.86,208.09,4336315
121,02-28-2023,1677609900,208.09,208.52,207.71,208.18,3720568
122,02-28-2023,1677610800,208.19,209.28,208.06,209.19,5264663
123,02-28-2023,1677611700,209.18,209.41,208.18,208.26,3913217
124,02-28-2023,1677612600,208.26,208.54,207.65,208.2,3959365
125,02-28-2023,1677613500,208.19,208.96,207.87,207.92,4538153
126,02-28-2023,1677614400,207.92,208.14,206.38,206.57,4776956
127,02-28-2023,1677615300,206.59,206.95,205.11,205.36,5394015
128,02-28-2023,1677616200,205.39,206.09,204.91,205.94,5088456
129,02-28-2023,1677617100,205.92,206.69,205.4,205.72,6167284
130,03-01-2023,1677681000,206.21,207.2,202.02,202.83,16121769
131,03-01-2023,1677681900,202.85,203.74,201.83,202.73,8751882
132,03-01-2023,1677682800,202.78,203.06,198.52,199.82,12676715
133,03-01-2023,1677683700,199.83,201.18,199.35,200.14,8987711
134,03-01-2023,1677684600,200.14,201.77,199.4,201.39,7599357
135,03-01-2023,1677685500,201.38,201.92,200.44,201.53,5415996
136,03-01-2023,1677686400,201.51,201.52,199.89,200.28,5255853
137,03-01-2023,1677687300,200.28,200.8,199.55,199.88,4636031
138,03-01-2023,1677688200,199.89,200.28,198.77,200.03,5456472
139,03-01-2023,1677689100,200.03,201.29,200.01,200.74,4540424
140,03-01-2023,1677690000,200.75,201.67,200.58,201.01,3962179
141,03-01-2023,1677690900,201.0,202.38,200.93,201.95,4166848
142,03-01-2023,1677691800,201.97,202.6,201.45,202.48,3649444
143,03-01-2023,1677692700,202.49,202.86,201.92,202.24,3616366
144,03-01-2023,1677693600,202.23,202.37,201.02,201.48,3411896
145,03-01-2023,1677694500,201.47,201.68,200.94,201.0,3115754
146,03-01-2023,1677695400,201.0,201.57,200.7,201.2,3155434
147,03-01-2023,1677696300,201.17,202.07,200.83,201.7,3201536
148,03-01-2023,1677697200,201.67,202.56,201.45,202.32,3516343
149,03-01-2023,1677698100,202.34,202.52,201.74,201.88,3345172
150,03-01-2023,1677699000,201.88,202.24,201.25,202.13,3448794
151,03-01-2023,1677699900,202.12,202.5,201.82,202.26,3519865
152,03-01-2023,1677700800,202.25,203.39,202.13,203.02,5497522
153,03-01-2023,1677701700,203.02,203.42,202.02,202.46,4679901
154,03-01-2023,1677702600,202.44,203.23,202.22,202.89,4559391
155,03-01-2023,1677703500,202.89,203.37,202.61,202.75,5372889
156,03-02-2023,1677767400,187.0,189.7,186.1,189.64,29762272
157,03-02-2023,1677768300,189.63,191.55,188.42,190.96,13928785
158,03-02-2023,1677769200,190.97,193.17,190.87,192.76,12626405
159,03-02-2023,1677770100,192.76,193.75,190.0,191.23,11195026
160,03-02-2023,1677771000,191.28,192.99,191.16,192.18,8217140
161,03-02-2023,1677771900,192.16,192.25,190.85,191.45,5916415
162,03-02-2023,1677772800,191.45,191.48,188.66,188.81,8396594
163,03-02-2023,1677773700,188.81,190.22,188.55,188.57,5828927
164,03-02-2023,1677774600,188.59,190.19,188.54,189.18,5377822
165,03-02-2023,1677775500,189.18,189.66,188.0,188.88,5566410
166,03-02-2023,1677776400,188.89,189.53,188.43,188.61,4278577
167,03-02-2023,1677777300,188.57,190.25,188.57,189.46,4469698
168,03-02-2023,1677778200,189.47,190.65,189.25,189.56,4605012
169,03-02-2023,1677779100,189.55,190.07,188.94,189.59,3833426
170,03-02-2023,1677780000,189.59,190.45,189.32,190.06,3960848
171,03-02-2023,1677780900,190.09,190.39,189.53,189.79,3166015
172,03-02-2023,1677781800,189.77,191.6,189.42,189.64,6330739
173,03-02-2023,1677782700,189.65,190.47,189.25,190.29,4722671
174,03-02-2023,1677783600,190.29,191.06,190.05,190.27,4505029
175,03-02-2023,1677784500,190.31,190.59,189.71,190.33,3385524
176,03-02-2023,1677785400,190.36,190.84,189.51,189.6,3913321
177,03-02-2023,1677786300,189.61,190.15,189.0,189.32,4435816
178,03-02-2023,1677787200,189.31,189.93,188.8,189.69,4399627
179,03-02-2023,1677788100,189.68,190.25,189.05,189.92,3968578
180,03-02-2023,1677789000,189.89,191.5,189.72,191.09,5696084
181,03-02-2023,1677789900,191.07,191.3,190.46,190.87,5377622
182,03-03-2023,1677853800,194.79,194.99,192.88,194.69,17745937
183,03-03-2023,1677854700,194.66,197.11,194.58,196.47,12590814
184,03-03-2023,1677855600,196.45,196.73,195.12,196.44,8336960
185,03-03-2023,1677856500,196.42,197.25,195.65,197.21,6762982
186,03-03-2023,1677857400,197.24,197.76,196.33,197.05,7299659
187,03-03-2023,1677858300,197.04,197.43,195.81,196.18,5761514
188,03-03-2023,1677859200,196.19,196.59,195.48,196.17,4689141
189,03-03-2023,1677860100,196.22,197.3,196.2,197.1,4853858
190,03-03-2023,1677861000,197.11,197.71,196.8,197.2,4367625
191,03-03-2023,1677861900,197.2,198.57,197.11,198.29,5930463
192,03-03-2023,1677862800,198.32,199.3,198.05,198.82,5534575
193,03-03-2023,1677863700,198.82,199.4,198.7,199.27,4102702
194,03-03-2023,1677864600,199.28,199.65,198.43,199.18,4699994
195,03-03-2023,1677865500,199.17,200.22,199.07,199.78,5509395
196,03-03-2023,1677866400,199.76,200.48,199.6,200.31,4701102
197,03-03-2023,1677867300,200.31,200.45,199.34,199.63,4566612
198,03-03-2023,1677868200,199.63,199.77,198.93,199.13,4043671
199,03-03-2023,1677869100,199.16,199.73,199.03,199.52,3090516
200,03-03-2023,1677870000,199.53,200.33,199.18,200.29,3868169
201,03-03-2023,1677870900,200.31,200.37,199.68,200.05,3319673
202,03-03-2023,1677871800,200.05,200.17,199.26,199.47,3133868
203,03-03-2023,1677872700,199.48,199.95,199.15,199.82,3083787
204,03-03-2023,1677873600,199.82,200.11,199.23,199.28,3588316
205,03-03-2023,1677874500,199.29,199.37,198.69,198.93,4180013
206,03-03-2023,1677875400,198.91,199.1,197.74,197.96,5528809
207,03-03-2023,1677876300,197.94,198.17,196.81,197.86,8309473
208,03-06-2023,1678113000,198.54,198.6,195.6,197.19,14988430
209,03-06-2023,1678113900,197.21,197.5,195.31,196.1,8281472
210,03-06-2023,1678114800,196.1,196.1,194.46,195.3,7722342
211,03-06-2023,1678115700,195.3,196.87,195.29,196.05,7057397
212,03-06-2023,1678116600,196.05,197.07,195.25,196.89,6250069
213,03-06-2023,1678117500,196.89,196.96,195.82,196.12,4496433
214,03-06-2023,1678118400,196.15,196.62,195.76,195.98,3878641
215,03-06-2023,1678119300,195.95,196.15,195.29,195.67,3969733
216,03-06-2023,1678120200,195.64,196.03,195.2,195.3,3295642
217,03-06-2023,1678121100,195.3,195.85,194.94,195.76,3265046
218,03-06-2023,1678122000,195.79,196.07,195.12,195.5,3142023
219,03-06-2023,1678122900,195.5,195.52,194.74,195.0,3207497
220,03-06-2023,1678123800,195.01,195.03,193.6,193.64,4465400
221,03-06-2023,1678124700,193.65,193.73,192.3,193.4,6580376
222,03-06-2023,1678125600,193.4,193.79,192.82,193.21,4116676
223,03-06-2023,1678126500,193.22,194.47,193.12,194.26,3934719
224,03-06-2023,1678127400,194.3,194.4,193.24,193.84,3386902
225,03-06-2023,1678128300,193.85,194.31,193.47,193.89,2753162
226,03-06-2023,1678129200,193.88,195.12,193.58,194.96,3781637
